player_name,team,league,position,jersey_number,goals,assists,yellow_cards,red_cards,shots,shots_on_goal,saves,clean_sheets,goals_against,photo_url,height,weight,birthdate,nationality
André Silva,Real Sociedad,LALIGA,Forward,21,0,0,0,0,2,1,0,0,0,https://assets.laliga.com/squad/2023/t188/p165811/512x512/p165811_t188_2023_1_002_000.jpg,"6' 1""",183 lbs,1995-11-06T08:00Z,Portugal
Pepe Reina,Villarreal,LALIGA,Goalkeeper,1,0,0,0,0,0,0,0,0,0,https://assets.laliga.com/squad/2023/t449/p8432/512x512/p8432_t449_2023_1_002_000.jpg,"6' 2""",203 lbs,1982-08-31T07:00Z,Spain
Javi Guerra,Valencia,LALIGA,Midfielder,8,3,1,2,0,18,8,2,4,16,https://assets.laliga.com/squad/2023/t191/p546540/512x512/p546540_t191_2023_1_002_000.jpg,"6' 2""",170 lbs,2003-05-13T07:00Z,Spain
Alejandro Pozo,Almería,LALIGA,Defender,17,0,0,0,0,1,1,0,0,16,https://assets.laliga.com/squad/2023/t1564/p234548/512x512/p234548_t1564_2023_1_002_000.jpg,"5' 9""",152 lbs,1999-02-22T08:00Z,Spain
Iván Cuéllar,Mallorca,LALIGA,Goalkeeper,25,0,0,0,0,0,0,0,0,0,https://assets.laliga.com/squad/2023/t181/p16261/512x512/p16261_t181_2023_1_002_000.jpg,"6' 2""",168 lbs,1984-05-27T07:00Z,Spain
Jesús Navas,Sevilla,LALIGA,Defender,16,0,0,3,0,1,0,2,1,11,https://assets.laliga.com/squad/2023/t179/p17740/512x512/p17740_t179_2023_1_002_000.jpg,"5' 8""",130 lbs,1985-11-21T08:00Z,Spain
Ibrahim Koné,Almería,LALIGA,Goalkeeper,23,0,0,0,0,3,2,0,0,11,https://assets.laliga.com/squad/2023/t1564/p445736/512x512/p445736_t1564_2023_1_002_000.jpg,"6' 3""",183 lbs,1989-12-05T08:00Z,Guinea
Sergio Ramos,Sevilla,LALIGA,Defender,4,0,0,2,0,6,2,5,2,3,https://assets.laliga.com/squad/2023/t179/p17861/512x512/p17861_t179_2023_1_002_000.jpg,"6' 0""",181 lbs,1986-03-30T08:00Z,Spain
Raúl Albiol,Villarreal,LALIGA,Defender,3,0,0,3,0,2,1,9,1,18,https://assets.laliga.com/squad/2023/t449/p18003/512x512/p18003_t449_2023_1_002_000.jpg,"6' 2""",161 lbs,1985-09-04T07:00Z,Spain
Raúl García,Athletic Club,LALIGA,Midfielder,22,0,0,2,0,3,0,0,0,1,https://assets.laliga.com/squad/2023/t174/p18498/512x512/p18498_t174_2023_1_002_000.jpg,"6' 0""",183 lbs,1986-07-11T07:00Z,Spain
Óscar Trejo,Rayo Vallecano,LALIGA,Midfielder,8,0,0,2,0,6,0,0,0,7,https://assets.laliga.com/squad/2023/t184/p40721/512x512/p40721_t184_2023_1_002_000.jpg,"5' 11""",172 lbs,1988-04-26T07:00Z,Argentina
Maxi Gómez,Cádiz,LALIGA,Forward,25,0,0,2,0,3,1,2,0,9,https://assets.laliga.com/squad/2023/t1737/p215206/512x512/p215206_t1737_2023_1_002_000.jpg,"6' 1""",201 lbs,1996-08-14T07:00Z,Uruguay
Rodrigo Riquelme,Atletico Madrid,LALIGA,Midfielder,25,2,1,1,0,15,8,0,0,9,https://assets.laliga.com/squad/2023/t175/p437834/512x512/p437834_t175_2023_1_002_000.jpg,"5' 9""",146 lbs,2000-04-02T08:00Z,Spain
André Ferreira,Granada,LALIGA,Goalkeeper,13,0,0,1,0,0,0,36,0,19,https://assets.laliga.com/squad/2023/t5683/p205523/512x512/p205523_t5683_2023_1_002_000.jpg,"6' 4""",172 lbs,1996-05-29T07:00Z,Portugal
Luka Modric,Real Madrid,LALIGA,Midfielder,10,0,1,1,0,7,3,2,0,4,https://assets.laliga.com/squad/2023/t186/p37055/512x512/p37055_t186_2023_1_002_000.jpg,"5' 8""",146 lbs,1985-09-09T07:00Z,Croatia
Cristian Rivero,Valencia,LALIGA,Goalkeeper,13,0,0,0,0,0,0,0,0,0,https://assets.laliga.com/squad/2023/t191/p442819/512x512/p442819_t191_2023_1_002_000.jpg,"6' 2""",163 lbs,1998-03-21T08:00Z,Spain
Andrés Guardado,Real Betis,LALIGA,Midfielder,18,0,0,1,0,2,0,1,0,3,https://assets.laliga.com/squad/2023/t185/p37064/512x512/p37064_t185_2023_1_002_000.jpg,"5' 7""",130 lbs,1986-09-28T07:00Z,Mexico
Miguel Rodríguez,Celta Vigo,LALIGA,Forward,29,0,0,1,0,2,0,0,0,2,https://assets.laliga.com/squad/2023/t176/p494932/512x512/p494932_t176_2023_1_002_000.jpg,"5' 10""",161 lbs,2003-04-29T07:00Z,Spain
Étienne Capoue,Villarreal,LALIGA,Midfielder,6,0,1,3,0,11,4,1,1,17,https://assets.laliga.com/squad/2023/t449/p38439/512x512/p38439_t449_2023_1_002_000.jpg,"6' 2""",174 lbs,1988-07-11T07:00Z,France
Claudio Bravo,Real Betis,LALIGA,Goalkeeper,1,0,0,0,0,0,0,16,3,4,https://assets.laliga.com/squad/2023/t185/p33148/512x512/p33148_t185_2023_1_002_000.jpg,"6' 0""",174 lbs,1983-04-13T08:00Z,Chile
Sokratis Papastathopoulos,Real Betis,LALIGA,Defender,19,0,0,0,0,0,0,0,0,0,N/A,"6' 1""",185 lbs,1988-06-09T07:00Z,Greece
Gonzalo García,Real Madrid,LALIGA,Forward,33,0,0,0,0,0,0,0,0,0,https://assets.laliga.com/squad/2023/t186/default/512x512/default_t186_2023_1_002_000.jpg,"6' 0""",161 lbs,2004-03-24T08:00Z,Spain
Radamel Falcao,Rayo Vallecano,LALIGA,Forward,9,1,0,0,0,6,2,0,0,0,https://assets.laliga.com/squad/2023/t184/p48847/512x512/p48847_t184_2023_1_002_000.jpg,"5' 10""",159 lbs,1986-02-10T08:00Z,Colombia
Iago Aspas,Celta Vigo,LALIGA,Forward,10,1,5,4,0,35,8,3,0,17,https://assets.laliga.com/squad/2023/t176/p40270/512x512/p40270_t176_2023_1_002_000.jpg,"5' 9""",148 lbs,1987-08-01T07:00Z,Spain
Marko Milovanovic,Almería,LALIGA,Forward,29,0,0,0,0,0,0,0,0,1,https://assets.laliga.com/squad/2023/t1564/p539673/512x512/p539673_t1564_2023_1_002_000.jpg,"6' 5""",185 lbs,2003-08-04T07:00Z,Serbia
Vicente Guaita,Celta Vigo,LALIGA,Goalkeeper,25,0,0,1,0,0,0,16,0,9,https://assets.laliga.com/squad/2023/t176/p40836/512x512/p40836_t176_2023_1_002_000.jpg,"6' 3""",179 lbs,1987-01-10T08:00Z,Spain
César Azpilicueta,Atletico Madrid,LALIGA,Defender,3,0,1,1,0,2,2,2,2,8,https://assets.laliga.com/squad/2023/t175/p41328/512x512/p41328_t175_2023_1_002_000.jpg,"5' 10""",168 lbs,1989-08-28T07:00Z,Spain
Ivan Rakitic,Sevilla,LALIGA,Midfielder,10,2,1,3,0,22,5,3,3,11,https://assets.laliga.com/squad/2023/t179/p34703/512x512/p34703_t179_2023_1_002_000.jpg,"6' 0""",172 lbs,1988-03-10T08:00Z,Croatia
Álvaro Negredo,Cádiz,LALIGA,Forward,9,0,0,0,0,2,1,0,0,2,https://assets.laliga.com/squad/2023/t1737/p42892/512x512/p42892_t1737_2023_1_002_000.jpg,"6' 1""",157 lbs,1985-08-20T07:00Z,Spain
