names,teams,leagues,positions,jersey_numbers,goals,assists,yellow_cards,red_cards,shots,shots_og,saves,clean_sheets,goals_against,photo_urls,heights,weights,birthdates,nationalities
Sophia Smith,Portland Thorns FC,nwsl,N/A,9,11,5,2,0,75,39,0,2,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Sophia_Smith_001.jpeg,"5' 6""",121 lbs,2000-08-10T07:00Z,USA
Sophie Schmidt,Houston Dash,nwsl,N/A,13,0,0,3,0,17,3,0,8,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\25/Sophie_Diana_Schmidt.png,"5' 8""",157 lbs,1988-06-28T07:00Z,Canada
Christine Sinclair,Portland Thorns FC,nwsl,N/A,12,3,1,0,0,27,10,0,1,12,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Christine_Sinclair_001.jpeg,"5' 9""",148 lbs,1983-06-12T07:00Z,Canada
Abby Erceg,Racing Louisville FC,nwsl,N/A,20,2,0,1,0,15,6,0,6,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Abby_Erceg_002.jpeg,"5' 10""",150 lbs,1989-11-20T08:00Z,New Zealand
Nadia Nadim,Racing Louisville FC,nwsl,N/A,10,1,0,0,0,14,5,0,0,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\4\29/Nadia_Nadim_1.png,"5' 9""",N/A,1988-01-02T08:00Z,Denmark
María Sánchez,Houston Dash,nwsl,N/A,7,4,4,2,0,29,11,0,1,17,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Maria_Sanchez_002.jpeg,"5' 5""",N/A,1996-02-20T08:00Z,Mexico
Alexis Loera,Kansas City Current,nwsl,N/A,22,0,3,1,0,4,1,0,1,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Alexis_Loera.jpeg,"5' 7""",163 lbs,1999-06-19T07:00Z,USA
Emily van Egmond,San Diego Wave FC,nwsl,N/A,5,0,0,2,0,9,3,0,3,7,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Emily_Van_Egmond_001.jpeg,"5' 9""",152 lbs,1993-07-12T07:00Z,Australia
Marta,Orlando Pride,nwsl,N/A,10,3,4,1,0,30,13,0,2,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Marta_001.jpeg,"5' 4""",128 lbs,1986-02-19T08:00Z,Brazil
Rafaelle,Orlando Pride,nwsl,N/A,4,1,0,1,0,7,4,0,1,7,N/A,"5' 9""",150 lbs,1991-06-18T07:00Z,Brazil
Sofia Jakobsson,San Diego Wave FC,nwsl,N/A,10,2,1,2,0,13,7,0,1,11,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Sofia_Jakobsson_001.jpeg,"5' 9""",132 lbs,1990-04-23T07:00Z,Sweden
