nationality_id,nationality
nat1,Portugal
nat2,Spain
nat3,Guinea
nat4,Argentina
nat5,Uruguay
nat6,Croatia
nat7,Mexico
nat8,France
nat9,Chile
nat10,Greece
nat11,Colombia
nat12,Serbia
nat13,Germany
nat14,Austria
nat15,Brazil
nat16,Poland
nat17,Netherlands
nat18,Slovenia
nat19,Algeria
nat20,Montenegro
nat21,Guadeloupe
nat22,Albania
nat23,Senegal
nat24,Belgium
nat25,North Macedonia
nat26,Venezuela
nat27,Togo
nat28,Peru
nat29,Denmark
nat30,Norway
nat31,Slovakia
nat32,Morocco
nat33,Sweden
nat34,Mali
nat35,Dominican Republic
nat36,Congo DR
nat37,Canada
nat38,Honduras
nat39,Nigeria
nat40,Ukraine
nat41,Ghana
nat42,Scotland
nat43,Paraguay
nat44,Switzerland
nat45,USA
nat46,Turkey
nat47,Guinea-Bissau
nat48,Romania
nat49,Kosovo
nat50,Italy
nat51,Japan
nat52,Israel
nat53,Equatorial Guinea
nat54,Georgia
nat55,England
nat56,Russia
nat57,Cameroon
nat58,Hungary
nat59,South Korea
nat60,Finland
nat61,Costa Rica
nat62,Czechia
nat63,Armenia
nat64,Suriname
nat65,Tunisia
nat66,Burkina Faso
nat67,Bosnia and Herzegovina
nat68,Luxembourg
nat69,Ivory Coast
nat70,Ecuador
nat71,N/A
nat72,Egypt
nat73,Panama
nat74,Gabon
nat75,Central African Republic
nat76,Martinique
nat77,Angola
nat78,Benin
nat79,French Guiana
nat80,Congo
nat81,Jamaica
nat82,Malta
nat83,Zimbabwe
nat84,KenyaBrazil
nat85,South Africa
nat86,Australia
nat87,Haiti
nat88,Burundi
nat89,Jordan
nat90,Gambia
nat91,Iceland
nat92,Uzbekistan
nat93,Iran
nat94,Cyprus
nat95,Cape Verde Islands
nat96,New Zealand
nat97,Zambia
nat98,Republic of Ireland
nat99,Lithuania
nat100,Bulgaria
nat101,Sierra Leone
nat102,Cuba
nat103,Trinidad and Tobago
nat104,Iraq
nat105,Puerto Rico
nat106,El Salvador
nat107,Libya
nat108,Guatemala
nat109,Uganda
nat110,South Sudan
nat111,China PR
nat112,Northern Ireland
nat113,Wales
nat114,Grenada
nat115,Estonia
