player_id,player_name,team_id,position_id,jersey_number,goals,assists,yellow_cards,red_cards,shots,shots_on_goal,saves,clean_sheets,goals_against,photo_url,height_(ft),weight_(lbs),birthdate,nationality_id
pl1,Patrick Agyemang,tm1,pos1,33,2,0,3,0,8,3,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/5289.png,6.33,196,2000-11-07 00:00:00,nat1
pl697,Kwadwo Opoku,tm17,pos1,90,6,3,1,1,51,18,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/308587.png,5.58,152,2001-07-13 00:00:00,nat1
pl825,Joshua Bolma,tm24,pos1,16,0,0,0,0,1,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/357053.png,5.75,132,2002-04-10 00:00:00,nat1
pl223,Eugene Ansah,tm27,pos1,31,1,0,0,0,8,4,0,0,0,N/A,0.0,-1,1994-12-16 00:00:00,nat1
pl1556,Antoine Semenyo,tm44,pos1,24,2,0,1,0,19,8,0,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p437730.png,6.08,172,2000-01-07 00:00:00,nat1
pl1217,Jordan Ayew,tm59,pos1,9,1,3,4,0,21,5,1,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p80146.png,6.0,174,1991-09-11 00:00:00,nat1
pl1947,Iñaki Williams,tm68,pos1,9,5,3,2,0,36,17,3,0,0,https://assets.laliga.com/squad/2023/t174/p197334/512x512/p197334_t174_2023_1_002_000.jpg,6.08,179,1994-06-15 00:00:00,nat1
pl2558,Christopher Antwi-Adjei,tm96,pos1,22,0,0,2,0,11,4,1,0,0,https://assets.bundesliga.com/player/dfl-obj-0028nb-dfl-clu-00000s-dfl-sea-0001k7.png,5.67,159,1994-02-07 00:00:00,nat1
pl3424,Benjamin Tetteh,tm118,pos1,17,0,0,1,0,3,1,0,0,0,https://www.ligue1.com/-/media/Project/LFP/shared/Images/Players/2023-2024/61/101561.jpg,6.33,141,1997-07-10 00:00:00,nat1
pl3683,Ernest Nuamah,tm122,pos1,37,1,0,1,0,14,6,0,0,0,https://www.ligue1.com/-/media/Project/LFP/shared/Images/Players/2023-2024/22/101722.jpg,5.83,157,2003-11-01 00:00:00,nat1
pl3896,Caleb Ekuban,tm137,pos1,18,0,0,0,0,9,0,1,0,0,https://img.legaseriea.it/vimages/64e38963/KBNCL.png,6.17,174,1994-03-23 00:00:00,nat1
pl3941,Emmanuel Gyasi,tm152,pos1,11,1,0,3,0,7,2,0,0,0,https://img.legaseriea.it/vimages/64e38743/LVDBR.png,5.92,152,1994-01-11 00:00:00,nat1
pl776,Shakur Mohammed,tm6,pos3,14,0,0,0,0,0,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/325936.png,5.83,159,2003-08-27 00:00:00,nat1
pl412,Latif Blessing,tm9,pos3,11,0,1,4,1,6,2,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/251673.png,5.58,139,1996-12-30 00:00:00,nat1
pl207,Emmanuel Boateng,tm24,pos3,18,2,3,1,0,17,6,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/191693.png,5.5,150,1994-01-17 00:00:00,nat1
pl157,Yaw Yeboah,tm26,pos3,14,3,6,3,0,35,13,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/173386.png,5.5,146,1997-03-28 00:00:00,nat1
pl1537,Mohammed Kudus,tm45,pos3,14,2,0,2,0,8,3,0,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p460842.png,5.83,152,2000-08-02 00:00:00,nat1
pl1337,Thomas Partey,tm56,pos3,5,0,0,0,0,2,1,1,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p167199.png,6.08,170,1993-06-13 00:00:00,nat1
pl1383,Jeff Schlupp,tm59,pos3,15,1,0,0,0,8,4,1,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p86417.png,5.83,159,1992-12-23 00:00:00,nat1
pl2099,Iddrisu Baba,tm65,pos3,4,0,0,2,0,4,1,1,0,0,https://assets.laliga.com/squad/2023/t1564/p463170/512x512/p463170_t1564_2023_1_002_000.jpg,6.08,161,1996-01-22 00:00:00,nat1
pl2630,Braydon Manu,tm99,pos3,7,0,0,1,0,3,0,0,0,0,https://assets.bundesliga.com/player/dfl-obj-002g11-dfl-clu-000016-dfl-sea-0001k7.png,5.58,152,1997-03-28 00:00:00,nat1
pl3587,Salis Abdul Samed,tm128,pos3,6,0,0,2,0,5,0,0,0,0,https://www.ligue1.com/-/media/Project/LFP/shared/Images/Players/2023-2024/69/88969.jpg,5.83,150,2000-03-26 00:00:00,nat1
pl3872,Alfred Duncan,tm140,pos3,32,1,3,1,0,7,2,3,0,0,https://img.legaseriea.it/vimages/64e381e6/DNCSP.png,5.83,172,1993-03-10 00:00:00,nat1
pl4287,Sulemana,tm144,pos3,25,0,0,2,0,5,2,1,0,0,https://img.legaseriea.it/vimages/64e3844e/SULEMA.png,5.92,-1,2003-05-22 00:00:00,nat1
pl794,Samuel Kwaku Owusu,tm10,pos4,30,0,0,0,0,0,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/334151.png,0.0,-1,2000-12-13 00:00:00,nat1
pl414,Lalas Abubakar,tm14,pos4,6,2,0,8,1,8,5,19,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/251801.png,6.08,181,1994-12-25 00:00:00,nat1
pl329,Joshua Yaro,tm15,pos4,15,0,0,2,0,0,0,6,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233046.png,5.92,161,1994-11-18 00:00:00,nat1
pl69,Jonathan Mensah,tm18,pos4,4,0,0,3,0,17,3,20,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/136638.png,6.17,183,1990-07-13 00:00:00,nat1
pl400,Ema Twumasi,tm27,pos4,22,1,2,4,1,1,1,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/249711.png,5.67,168,1997-05-18 00:00:00,nat1
pl1566,Tariq Lamptey,tm46,pos4,2,0,2,2,0,1,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p232792.png,5.33,119,2000-09-30 00:00:00,nat1
pl2013,Abdul Mumin,tm69,pos4,16,1,0,1,1,1,1,3,0,0,https://assets.laliga.com/squad/2023/t184/p232016/512x512/p232016_t184_2023_1_002_000.jpg,6.17,172,1998-06-06 00:00:00,nat1
pl1963,Joseph Aidoo,tm75,pos4,15,0,0,0,0,3,0,1,0,0,https://assets.laliga.com/squad/2023/t176/p210171/512x512/p210171_t176_2023_1_002_000.jpg,6.0,174,1995-09-29 00:00:00,nat1
pl2597,Patric Pfeiffer,tm98,pos4,5,0,1,0,0,5,0,3,0,0,https://assets.bundesliga.com/player/dfl-obj-0028g3-dfl-clu-000010-dfl-sea-0001k7.png,6.42,201,1999-08-20 00:00:00,nat1
pl3614,Alidu Seidu,tm127,pos4,36,0,1,4,0,5,1,4,0,0,https://www.ligue1.com/-/media/Project/LFP/shared/Images/Players/2023-2024/84/89884.jpg,5.67,150,2000-06-04 00:00:00,nat1
pl1702,Jordan Amissah,tm52,pos2,37,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p538206.png,6.5,-1,2001-08-02 00:00:00,nat1
pl289,Karol Swiderski,tm1,pos1,11,12,6,6,0,82,25,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/220851.png,6.0,170,1997-01-23 00:00:00,nat38
pl334,Jaroslaw Niezgoda,tm2,pos1,11,1,0,0,0,8,3,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233266.png,6.08,170,1995-03-15 00:00:00,nat38
pl137,Kacper Przybylko,tm19,pos1,11,4,2,2,0,21,9,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/167387.png,6.33,192,1993-03-25 00:00:00,nat38
pl1768,Robert Lewandowski,tm80,pos1,9,7,3,3,0,31,14,1,0,0,https://assets.laliga.com/squad/2023/t178/p56764/512x512/p56764_t178_2023_1_002_000.jpg,6.08,179,1988-08-21 00:00:00,nat38
