player_id,player_name,team_id,position_id,jersey_number,goals,assists,yellow_cards,red_cards,shots,shots_on_goal,saves,clean_sheets,goals_against,photo_url,height_(ft),weight_(lbs),birthdate,nationality_id
pl1,Patrick Agyemang,tm1,pos1,33,2,0,3,0,8,3,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/5289.png,6.33,196,2000-11-07 00:00:00,nat1
pl697,Kwadwo Opoku,tm17,pos1,90,6,3,1,1,51,18,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/308587.png,5.58,152,2001-07-13 00:00:00,nat1
pl825,Joshua Bolma,tm24,pos1,16,0,0,0,0,1,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/357053.png,5.75,132,2002-04-10 00:00:00,nat1
pl223,Eugene Ansah,tm27,pos1,31,1,0,0,0,8,4,0,0,0,N/A,0.0,-1,1994-12-16 00:00:00,nat1
pl776,Shakur Mohammed,tm6,pos3,14,0,0,0,0,0,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/325936.png,5.83,159,2003-08-27 00:00:00,nat1
pl412,Latif Blessing,tm9,pos3,11,0,1,4,1,6,2,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/251673.png,5.58,139,1996-12-30 00:00:00,nat1
pl207,Emmanuel Boateng,tm24,pos3,18,2,3,1,0,17,6,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/191693.png,5.5,150,1994-01-17 00:00:00,nat1
pl157,Yaw Yeboah,tm26,pos3,14,3,6,3,0,35,13,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/173386.png,5.5,146,1997-03-28 00:00:00,nat1
pl794,Samuel Kwaku Owusu,tm10,pos4,30,0,0,0,0,0,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/334151.png,0.0,-1,2000-12-13 00:00:00,nat1
pl414,Lalas Abubakar,tm14,pos4,6,2,0,8,1,8,5,19,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/251801.png,6.08,181,1994-12-25 00:00:00,nat1
pl329,Joshua Yaro,tm15,pos4,15,0,0,2,0,0,0,6,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233046.png,5.92,161,1994-11-18 00:00:00,nat1
pl69,Jonathan Mensah,tm18,pos4,4,0,0,3,0,17,3,20,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/136638.png,6.17,183,1990-07-13 00:00:00,nat1
pl400,Ema Twumasi,tm27,pos4,22,1,2,4,1,1,1,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/249711.png,5.67,168,1997-05-18 00:00:00,nat1
pl289,Karol Swiderski,tm1,pos1,11,12,6,6,0,82,25,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/220851.png,6.0,170,1997-01-23 00:00:00,nat37
pl334,Jaroslaw Niezgoda,tm2,pos1,11,1,0,0,0,8,3,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233266.png,6.08,170,1995-03-15 00:00:00,nat37
pl137,Kacper Przybylko,tm19,pos1,11,4,2,2,0,21,9,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/167387.png,6.33,192,1993-03-25 00:00:00,nat37
pl347,Kamil Jozwiak,tm1,pos3,7,2,7,5,0,13,4,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/235672.png,5.75,152,1998-04-22 00:00:00,nat37
pl581,Sebastian Kowalczyk,tm4,pos3,32,0,1,1,0,2,1,0,0,0,N/A,5.58,117,1998-08-22 00:00:00,nat37
pl584,Mateusz Bogusz,tm7,pos3,19,3,7,6,0,61,22,0,0,0,N/A,5.75,150,2001-08-22 00:00:00,nat37
pl121,Mateusz Klich,tm22,pos3,43,4,9,10,1,42,11,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/158331.png,6.0,183,1990-06-13 00:00:00,nat37
pl374,Enzo Copetti,tm1,pos1,9,6,2,8,0,37,16,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/241544.png,5.83,161,1996-01-16 00:00:00,nat7
pl31,Sebastián Blanco,tm2,pos1,10,1,1,2,0,6,1,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/76914.png,5.58,150,1988-03-15 00:00:00,nat7
pl13,Lionel Messi,tm5,pos1,10,1,2,0,0,19,5,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/45843.png,5.58,159,1987-06-24 00:00:00,nat7
pl253,Nicolás Stefanelli,tm5,pos1,22,2,1,2,0,26,8,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/207232.png,5.42,159,1994-11-22 00:00:00,nat7
pl588,Gastón González,tm6,pos1,22,0,2,0,0,6,3,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/288430.png,6.0,179,2001-06-27 00:00:00,nat7
pl704,Ramiro Enrique,tm6,pos1,7,4,2,4,0,36,8,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/309410.png,5.58,150,2001-05-04 00:00:00,nat7
pl118,Maximiliano Urruti,tm8,pos1,37,1,0,3,0,22,4,2,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/158081.png,6.0,163,1991-02-22 00:00:00,nat7
pl530,Matías Pellegrini,tm10,pos1,17,1,1,9,0,17,3,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/276287.png,5.92,159,2000-03-11 00:00:00,nat7
pl797,Julián Fernández,tm10,pos1,11,2,0,1,0,15,6,0,0,0,N/A,6.0,161,2004-01-30 00:00:00,nat7
pl53,Gustavo Bou,tm24,pos1,7,8,4,0,0,61,23,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/117830.png,5.75,159,1990-02-18 00:00:00,nat7
pl475,Tomás Chancalay,tm24,pos1,5,6,0,3,0,45,13,0,0,0,N/A,5.83,168,1999-01-01 00:00:00,nat7
pl479,Julián Carranza,tm25,pos1,9,14,6,6,2,85,33,5,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/262566.png,5.75,146,2000-05-22 00:00:00,nat7
pl564,Alan Velasco,tm27,pos1,20,4,4,5,0,55,16,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/286516.png,5.5,139,2002-07-27 00:00:00,nat7
pl1079,Mariana Larroquette,tm35,pos1,7,1,0,0,0,2,1,0,0,0,N/A,5.42,119,1992-10-24 00:00:00,nat7
pl599,David Ayala,tm2,pos3,24,0,0,1,0,2,0,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/290715.png,5.58,137,2002-07-26 00:00:00,nat7
pl647,Facundo Farías,tm5,pos3,11,3,2,4,0,23,6,0,0,0,N/A,5.75,152,2002-08-28 00:00:00,nat7
pl336,Martín Ojeda,tm6,pos3,11,6,10,0,0,65,24,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233401.png,5.75,128,1998-11-27 00:00:00,nat7
pl169,Emiliano Rigoni,tm8,pos3,7,5,6,3,0,47,22,3,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/178062.png,5.92,192,1993-02-04 00:00:00,nat7
pl215,Sebastián Driussi,tm8,pos3,10,11,5,1,0,75,29,6,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/195334.png,5.83,174,1996-02-09 00:00:00,nat7
pl650,Franco Ibarra,tm9,pos3,15,0,0,9,1,9,1,4,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/300115.png,5.75,150,2001-04-28 00:00:00,nat7
pl21,Maxi Morález,tm10,pos3,27,0,0,0,0,6,1,1,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/70624.png,5.25,115,1987-02-27 00:00:00,nat7
pl136,Franco Fragapane,tm11,pos3,7,1,2,3,0,18,8,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/167140.png,5.42,150,1993-02-06 00:00:00,nat7
pl335,Emanuel Reynoso,tm11,pos3,10,6,5,4,0,47,15,0,0,0,https://a.espncdn.com/i/headshots/soccer/players/full/233326.png,5.58,150,1995-11-16 00:00:00,nat7
