team_id,team,league_id
tm1,Charlotte FC,lg1
tm2,Portland Timbers,lg1
tm3,Nashville SC,lg1
tm4,Houston Dynamo FC,lg1
tm5,Inter Miami CF,lg1
tm6,Orlando City SC,lg1
tm7,LAFC,lg1
tm8,Austin FC,lg1
tm9,Toronto FC,lg1
tm10,New York City FC,lg1
tm11,Minnesota United FC,lg1
tm12,Atlanta United FC,lg1
tm13,LA Galaxy,lg1
tm14,Colorado Rapids,lg1
tm15,St. Louis CITY SC,lg1
tm16,Seattle Sounders FC,lg1
tm17,CF Montréal,lg1
tm18,San Jose Earthquakes,lg1
tm19,Chicago Fire FC,lg1
tm20,Real Salt Lake,lg1
tm21,Sporting Kansas City,lg1
tm22,D.C. United,lg1
tm23,Vancouver Whitecaps,lg1
tm24,New England Revolution,lg1
tm25,Philadelphia Union,lg1
tm26,Columbus Crew,lg1
tm27,FC Dallas,lg1
tm28,New York Red Bulls,lg1
tm29,FC Cincinnati,lg1
tm30,Portland Thorns FC,lg2
tm31,Houston Dash,lg2
tm32,Racing Louisville FC,lg2
tm33,Kansas City Current,lg2
tm34,San Diego Wave FC,lg2
tm35,Orlando Pride,lg2
tm36,OL Reign,lg2
tm37,NJ/NY Gotham FC,lg2
tm38,Washington Spirit,lg2
tm39,Angel City FC,lg2
tm40,Chicago Red Stars,lg2
tm41,North Carolina Courage,lg2
